Name,URL,ID,Number of Accessibility Issues
twbs/bootstrap,https://github.com/twbs/bootstrap,2126244,481
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,3470471,20
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,382496361,5
mozilla/pdf.js,https://github.com/mozilla/pdf.js,1663468,47
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,931135,82
Dogfalo/materialize,https://github.com/Dogfalo/materialize,23974149,11
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,60630844,63
adobe/brackets,https://github.com/adobe/brackets,2935735,1
layui/layui,https://github.com/layui/layui,42920477,2
docsifyjs/docsify,https://github.com/docsifyjs/docsify,74260508,5
select2/select2,https://github.com/select2/select2,3620194,38
facebookarchive/draft-js,https://github.com/facebookarchive/draft-js,52113921,1
wekan/wekan,https://github.com/wekan/wekan,16089035,12
handsontable/handsontable,https://github.com/handsontable/handsontable,1790564,18
basecamp/trix,https://github.com/basecamp/trix,11829145,5
KaTeX/KaTeX,https://github.com/KaTeX/KaTeX,11195700,3
brave/brave-browser,https://github.com/brave/brave-browser,110178895,56
github/docs,https://github.com/github/docs,189621607,1
NodeBB/NodeBB,https://github.com/NodeBB/NodeBB,9603889,1
Automattic/wp-calypso,https://github.com/Automattic/wp-calypso,45936895,458
segmentio/evergreen,https://github.com/segmentio/evergreen,98789146,1
react-dates/react-dates,https://github.com/react-dates/react-dates,58011499,15
MetaMask/metamask-extension,https://github.com/MetaMask/metamask-extension,42009758,16
HabitRPG/habitica,https://github.com/HabitRPG/habitica,4578898,7
zotero/zotero,https://github.com/zotero/zotero,2656556,31
grommet/grommet,https://github.com/grommet/grommet,32787174,40
brave/browser-laptop,https://github.com/brave/browser-laptop,46891997,99
reactjs/react-modal,https://github.com/reactjs/react-modal,24278976,2
